image_name,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel_mm,qy_rel_mm,qz_rel_mm,qw_rel_mm,elapsed_time_s
Basler_acA2040-35gm__23324651__20250529_163554690_0000.tiff,110.03406461331609,-110.16837422602282,-2.3636552391306243,155.7246060230107,0.16111602301069183,0.034738975117190235,-0.0194779647896067,0.7055472126965723,0.7075428913864938,0.0536
Basler_acA2040-35gm__23324651__20250529_163603290_0000.tiff,110.02195363491282,-110.14303379514193,-2.104569882034557,155.6944038481443,0.13091384814430285,0.034887239490643304,-0.01994323268858648,0.7055616618205551,0.7075082256480613,0.0515
Basler_acA2040-35gm__23324651__20250529_163603290_0001.tiff,109.98871311812796,-110.16184499691053,-1.7849076947901166,155.68023317680417,0.1167431768041638,0.03371560639028477,-0.019210947551596157,0.705532558463786,0.7076143061919039,0.0503
Basler_acA2040-35gm__23324651__20250529_163603290_0002.tiff,109.95498738833298,-110.15607014260199,-1.3129299356731128,155.64762390041906,0.08413390041906155,0.03262195816174561,-0.01879084734354295,0.7055241977702,0.7076851830175059,0.0520
Basler_acA2040-35gm__23324651__20250529_163603290_0003.tiff,109.99076689448707,-110.17224079404215,-1.889436227360597,155.69027398291476,0.126783982914759,0.035265378739153655,-0.01932525780278994,0.7054383884064492,0.7076295412401544,0.0566
Basler_acA2040-35gm__23324651__20250529_163603290_0004.tiff,109.88416568062837,-110.20326495074,-1.9287269095379367,155.6374294976063,0.0739394976062897,0.0359040593257127,-0.02132703365593067,0.704957516968092,0.7080190360643962,0.0543
Basler_acA2040-35gm__23324651__20250529_163603290_0005.tiff,109.72204883840764,-110.2541024273198,-1.1374727860771205,155.55124219269644,-0.01224780730356656,0.03937248561166228,-0.001847166563218352,0.7045109646067532,0.7085976969348046,0.0541
Basler_acA2040-35gm__23324651__20250529_163603290_0006.tiff,109.66717462704852,-110.24647879946426,-0.39257487610744324,155.5034706795756,-0.06001932042440217,0.041638996397058155,0.0001675726567086645,0.7044913526595024,0.7084900139920359,0.0489
Basler_acA2040-35gm__23324651__20250529_163603290_0007.tiff,109.88765718064496,-110.28625298191577,-1.0274726867317563,155.69011046808356,0.12662046808355853,0.024190453756898937,-0.009330513874088679,0.7053048455902386,0.7084298400299145,0.0498
Basler_acA2040-35gm__23324651__20250529_163603290_0008.tiff,109.96815439146651,-110.31861773781371,-2.433547368023259,155.7854760644897,0.22198606448969826,0.033233367934716346,-0.026634318259708707,0.7049145722127073,0.7080124308433661,0.0515
Basler_acA2040-35gm__23324651__20250529_163603290_0009.tiff,110.00978668588562,-110.2688134518235,-2.579006519958349,155.7819490871041,0.2184590871040939,0.032993635806929565,-0.04147253416754964,0.7045684497314024,0.7076543990883187,0.0554
Basler_acA2040-35gm__23324651__20250529_163603290_0010.tiff,110.10810732556645,-110.21723872752088,-3.4871626539708656,155.8325874613941,0.2690974613940966,0.04524915254026161,-0.04636344310775727,0.7041725843591166,0.7070671232454419,0.0541
Basler_acA2040-35gm__23324651__20250529_163603290_0011.tiff,110.12953345367052,-110.18275861099383,-4.7333888323983775,155.85621387577186,0.29272387577185555,0.047225489187304,-0.05239082873751585,0.7037932302202803,0.7068946479719022,0.0582
Basler_acA2040-35gm__23324651__20250529_163603290_0012.tiff,109.87079663376839,-110.29480576353944,-1.5609545264538838,155.68870450482092,0.12521450482091723,0.0330786369896076,-0.013668680232359759,0.7049346924200384,0.7083685837036261,0.0497
Basler_acA2040-35gm__23324651__20250529_163603290_0013.tiff,109.76883824894972,-110.23646625365352,-1.473347375060663,155.57457084981652,0.011080849816522687,0.0421250423285626,-0.008775214959503754,0.7045120642506961,0.7083863548491418,0.0518
Basler_acA2040-35gm__23324651__20250529_163603290_0014.tiff,109.84950240996925,-110.27637852232967,-1.3828662340445996,155.65893857642493,0.09544857642492843,-0.00832604148950445,0.0024689412307178533,0.7054915377158676,0.7086651335952792,0.0516
Basler_acA2040-35gm__23324651__20250529_163603290_0015.tiff,109.90381372728478,-110.03130399700511,-3.035454050862363,155.54726006065798,-0.016229939342025546,-0.010147245465455413,0.004341605040608856,0.7056009636770413,0.7085234392263714,0.0568
Basler_acA2040-35gm__23324651__20250529_163603290_0016.tiff,109.80410994232942,-109.99946458756615,-3.770537289409681,155.47038856717768,-0.09310143282232275,-0.015093789493461369,0.011158013920974444,0.7051797192128384,0.7087801068420083,0.0582
Basler_acA2040-35gm__23324651__20250529_163603290_0017.tiff,109.94170082882077,-109.79833821232468,-6.554249100862108,155.51787947563494,-0.045610524365059746,0.0004337923322266364,-0.0015114188774618337,0.7056870966329277,0.7085218762204724,0.0567
Basler_acA2040-35gm__23324651__20250529_163603290_0018.tiff,109.92622818119223,-109.55755103601076,-9.4003361742796,155.48311468240246,-0.08037531759754302,0.007642805792953116,0.002659226339653636,0.7061643053152423,0.7080017584254485,0.0555
Basler_acA2040-35gm__23324651__20250529_163603290_0019.tiff,109.73576962256608,-109.77676108900786,-6.350659601611741,155.34866361583403,-0.2148263841659741,0.0035825195826060595,0.0005573823497085126,0.7054950827544899,0.7087055404662728,0.0695
Basler_acA2040-35gm__23324651__20250529_163603290_0020.tiff,109.77626495758444,-109.77262176918845,-6.148545136429373,155.36621719477435,-0.19727280522565138,-0.0006159241018869453,0.008162206465884768,0.705776430813479,0.7083873437119663,0.0776
Basler_acA2040-35gm__23324651__20250529_163603290_0021.tiff,109.84893315596916,-110.09147611540287,-4.106792760699696,155.57566318532034,0.012173185320335733,-0.007866535656712649,0.006543993797297534,0.7055621551460584,0.7085741591305684,0.0526
Basler_acA2040-35gm__23324651__20250529_163603290_0022.tiff,109.716616852051,-110.35027188187551,-1.0578514109798043,155.61503001789808,0.05154001789807694,0.04080507834476658,0.00047951558160172714,0.7043013842481235,0.7087272224151274,0.0528
Basler_acA2040-35gm__23324651__20250529_163603290_0023.tiff,109.83109917919946,-110.42105242412754,-1.571981311703663,155.75028183155052,0.18679183155052215,0.030841441952290712,-0.0008046150580740128,0.7047032027396836,0.7088311181807302,0.0498
Basler_acA2040-35gm__23324651__20250529_163603290_0024.tiff,109.79977131043961,-110.42773843824124,-1.1681961478350322,155.7293802679805,0.165890267980501,0.010892291648464973,0.0037628251371618973,0.705420565576686,0.7086952975652516,0.0462
Basler_acA2040-35gm__23324651__20250529_163603290_0025.tiff,109.95300840742763,-110.21609177825447,-2.2291258986600893,155.6991327753258,0.13564277532580604,-0.010745665196867364,0.009325538469703168,0.705881962749653,0.70818657123418,0.0596
Basler_acA2040-35gm__23324651__20250529_163603290_0026.tiff,110.07067382527653,-110.25803254688985,-2.2526560323163913,155.81226343475464,0.2487734347546393,0.029474780302987377,-0.04855980774925697,0.7044291312006629,0.7074975487684214,0.0539
Basler_acA2040-35gm__23324651__20250529_163603290_0027.tiff,110.06351555242506,-110.2719452676293,-0.8644603378917814,155.8031664008846,0.23967640088460485,-0.016769886917419215,-0.0018191045497637024,0.704940483239387,0.7090658480293868,0.0563
Basler_acA2040-35gm__23324651__20250529_163603290_0028.tiff,110.12894643498426,-110.29628068206168,-2.4883808881251968,155.88408005508504,0.32059005508503446,0.022851457903676167,-0.04247565768071657,0.7048456295330257,0.707719060012135,0.0498
Basler_acA2040-35gm__23324651__20250529_163603290_0029.tiff,109.78495600446583,-110.23636440674137,-0.8337691423081495,155.58112923327505,0.017639233275048127,-0.020226094105703786,0.014053601602208199,0.7053189208302675,0.7084621523539987,0.0533
Basler_acA2040-35gm__23324651__20250529_163603290_0030.tiff,109.64125848543019,-110.11333891154779,1.0542596959555173,155.39390088425225,-0.1695891157477547,-0.01788154445863995,0.017248975271559292,0.705699033236796,0.7080759830050067,0.0556
Basler_acA2040-35gm__23324651__20250529_163603290_0031.tiff,109.68061430749584,-110.28226185781672,-0.9152173184968637,155.5405158088586,-0.02297419114140098,-0.022594585094892188,0.019541094475121482,0.7051803451640171,0.7083984127208797,0.0564
Basler_acA2040-35gm__23324651__20250529_163603290_0032.tiff,109.74235563035342,-110.27269887158519,-2.0813442147576966,155.58851091729935,0.025020917299343637,-0.012773848493672793,0.01797539732115851,0.7053980395235732,0.708468291260877,0.0542
Basler_acA2040-35gm__23324651__20250529_163603290_0033.tiff,109.59094766575964,-110.29391360191708,-2.35493413507748,155.50070386556766,-0.06278613443234349,-0.008084392187825815,0.019235330812812812,0.70529794276731,0.7086038784678472,0.0621
Basler_acA2040-35gm__23324651__20250529_163603290_0034.tiff,109.60319029714923,-110.31284435763898,-1.985581409258308,155.51760507131848,-0.04588492868151661,-0.002694277917760667,0.021566054775372708,0.705369207777823,0.7085068290897513,0.0596
Basler_acA2040-35gm__23324651__20250529_163603290_0035.tiff,109.58189072611208,-110.11177144703638,-0.5646260364101652,155.34835624774064,-0.21513375225936215,-0.00704517294020814,0.03129695742956174,0.7052593961052356,0.7082231641221383,0.0598
Basler_acA2040-35gm__23324651__20250529_163603290_0038.tiff,109.93012059505926,-110.36030527792401,-4.622008347751616,155.83770839000277,0.2742183900027726,0.0537116545688155,-0.023769717570582088,0.7037639762724681,0.7080016415173485,0.0534
