image_name,tx_rel_mm,ty_rel_mm,tz_rel_mm,distance_mm,error_mm,qx_rel,qy_rel,qz_rel,qw_rel,elapsed_time_s
Basler_acA2040-35gm__23324651__20250529_163554690_0000.tiff,-1.48548e-14,-3.05238e-14,8.5425e-14,9.19227e-14,-155.563,1,1,1,1,0.0883565
Basler_acA2040-35gm__23324651__20250529_163554690_0000.tiff,-1.48548e-14,-3.05238e-14,8.5425e-14,9.19227e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0883565
Basler_acA2040-35gm__23324651__20250529_163554690_0000.tiff,-1.48548e-14,-3.05238e-14,8.5425e-14,9.19227e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0883565
Basler_acA2040-35gm__23324651__20250529_163554690_0000.tiff,-1.48548e-14,-3.05238e-14,8.5425e-14,9.19227e-14,-155.563,1.12184e-17,1.12184e-17,1.12184e-17,1.12184e-17,0.0883565
Basler_acA2040-35gm__23324651__20250529_163603290_0000.tiff,-2.40431e-14,-5.13104e-15,4.21194e-14,4.87693e-14,-155.563,1,1,1,1,0.0725685
Basler_acA2040-35gm__23324651__20250529_163603290_0000.tiff,-2.40431e-14,-5.13104e-15,4.21194e-14,4.87693e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0725685
Basler_acA2040-35gm__23324651__20250529_163603290_0000.tiff,-2.40431e-14,-5.13104e-15,4.21194e-14,4.87693e-14,-155.563,8.17399e-18,8.17399e-18,8.17399e-18,8.17399e-18,0.0725685
Basler_acA2040-35gm__23324651__20250529_163603290_0000.tiff,-2.40431e-14,-5.13104e-15,4.21194e-14,4.87693e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0725685
Basler_acA2040-35gm__23324651__20250529_163603290_0001.tiff,4.67524e-15,5.10978e-16,-1.99294e-14,2.04768e-14,-155.563,1,1,1,1,0.0756878
Basler_acA2040-35gm__23324651__20250529_163603290_0001.tiff,4.67524e-15,5.10978e-16,-1.99294e-14,2.04768e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0756878
Basler_acA2040-35gm__23324651__20250529_163603290_0001.tiff,4.67524e-15,5.10978e-16,-1.99294e-14,2.04768e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0756878
Basler_acA2040-35gm__23324651__20250529_163603290_0001.tiff,4.67524e-15,5.10978e-16,-1.99294e-14,2.04768e-14,-155.563,3.46323e-18,3.46323e-18,3.46323e-18,3.46323e-18,0.0756878
Basler_acA2040-35gm__23324651__20250529_163603290_0002.tiff,-1.6627e-14,1.93827e-14,2.43176e-14,3.52631e-14,-155.563,-1,-1,-1,-1,0.075611
Basler_acA2040-35gm__23324651__20250529_163603290_0002.tiff,-1.6627e-14,1.93827e-14,2.43176e-14,3.52631e-14,-155.563,-2.89187e-18,-2.89187e-18,-2.89187e-18,-2.89187e-18,0.075611
Basler_acA2040-35gm__23324651__20250529_163603290_0002.tiff,-1.6627e-14,1.93827e-14,2.43176e-14,3.52631e-14,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.075611
Basler_acA2040-35gm__23324651__20250529_163603290_0002.tiff,-1.6627e-14,1.93827e-14,2.43176e-14,3.52631e-14,-155.563,-1.09174e-17,-1.09174e-17,-1.09174e-17,-1.09174e-17,0.075611
Basler_acA2040-35gm__23324651__20250529_163603290_0003.tiff,-8.74032e-15,-1.32156e-14,5.69046e-14,5.90693e-14,-155.563,-1,-1,-1,-1,0.0822644
Basler_acA2040-35gm__23324651__20250529_163603290_0003.tiff,-8.74032e-15,-1.32156e-14,5.69046e-14,5.90693e-14,-155.563,-1.34852e-18,-1.34852e-18,-1.34852e-18,-1.34852e-18,0.0822644
Basler_acA2040-35gm__23324651__20250529_163603290_0003.tiff,-8.74032e-15,-1.32156e-14,5.69046e-14,5.90693e-14,-155.563,-6.67898e-18,-6.67898e-18,-6.67898e-18,-6.67898e-18,0.0822644
Basler_acA2040-35gm__23324651__20250529_163603290_0003.tiff,-8.74032e-15,-1.32156e-14,5.69046e-14,5.90693e-14,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0822644
Basler_acA2040-35gm__23324651__20250529_163603290_0004.tiff,1.32708e-14,-1.66014e-15,8.04322e-14,8.15365e-14,-155.563,-1,-1,-1,-1,0.0722169
Basler_acA2040-35gm__23324651__20250529_163603290_0004.tiff,1.32708e-14,-1.66014e-15,8.04322e-14,8.15365e-14,-155.563,-2.10273e-19,-2.10273e-19,-2.10273e-19,-2.10273e-19,0.0722169
Basler_acA2040-35gm__23324651__20250529_163603290_0004.tiff,1.32708e-14,-1.66014e-15,8.04322e-14,8.15365e-14,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0722169
Basler_acA2040-35gm__23324651__20250529_163603290_0004.tiff,1.32708e-14,-1.66014e-15,8.04322e-14,8.15365e-14,-155.563,-1.53275e-18,-1.53275e-18,-1.53275e-18,-1.53275e-18,0.0722169
Basler_acA2040-35gm__23324651__20250529_163603290_0005.tiff,-1.84406e-14,-7.92517e-16,-1.04881e-13,1.06493e-13,-155.563,1,1,1,1,0.0744042
Basler_acA2040-35gm__23324651__20250529_163603290_0005.tiff,-1.84406e-14,-7.92517e-16,-1.04881e-13,1.06493e-13,-155.563,2.51877e-18,2.51877e-18,2.51877e-18,2.51877e-18,0.0744042
Basler_acA2040-35gm__23324651__20250529_163603290_0005.tiff,-1.84406e-14,-7.92517e-16,-1.04881e-13,1.06493e-13,-155.563,2.53962e-18,2.53962e-18,2.53962e-18,2.53962e-18,0.0744042
Basler_acA2040-35gm__23324651__20250529_163603290_0005.tiff,-1.84406e-14,-7.92517e-16,-1.04881e-13,1.06493e-13,-155.563,2.05533e-18,2.05533e-18,2.05533e-18,2.05533e-18,0.0744042
Basler_acA2040-35gm__23324651__20250529_163603290_0006.tiff,-9.2896e-15,3.4037e-15,-9.23402e-14,9.28687e-14,-155.563,1,1,1,1,0.0791983
Basler_acA2040-35gm__23324651__20250529_163603290_0006.tiff,-9.2896e-15,3.4037e-15,-9.23402e-14,9.28687e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0791983
Basler_acA2040-35gm__23324651__20250529_163603290_0006.tiff,-9.2896e-15,3.4037e-15,-9.23402e-14,9.28687e-14,-155.563,1.29093e-17,1.29093e-17,1.29093e-17,1.29093e-17,0.0791983
Basler_acA2040-35gm__23324651__20250529_163603290_0006.tiff,-9.2896e-15,3.4037e-15,-9.23402e-14,9.28687e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0791983
Basler_acA2040-35gm__23324651__20250529_163603290_0007.tiff,9.94077e-16,-9.03049e-15,3.93677e-14,4.04024e-14,-155.563,1,1,1,1,0.0789659
Basler_acA2040-35gm__23324651__20250529_163603290_0007.tiff,9.94077e-16,-9.03049e-15,3.93677e-14,4.04024e-14,-155.563,8.74458e-19,8.74458e-19,8.74458e-19,8.74458e-19,0.0789659
Basler_acA2040-35gm__23324651__20250529_163603290_0007.tiff,9.94077e-16,-9.03049e-15,3.93677e-14,4.04024e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0789659
Basler_acA2040-35gm__23324651__20250529_163603290_0007.tiff,9.94077e-16,-9.03049e-15,3.93677e-14,4.04024e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0789659
Basler_acA2040-35gm__23324651__20250529_163603290_0008.tiff,-3.85514e-15,-8.54175e-15,-7.43797e-14,7.49678e-14,-155.563,-1,-1,-1,-1,0.0874878
Basler_acA2040-35gm__23324651__20250529_163603290_0008.tiff,-3.85514e-15,-8.54175e-15,-7.43797e-14,7.49678e-14,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0874878
Basler_acA2040-35gm__23324651__20250529_163603290_0008.tiff,-3.85514e-15,-8.54175e-15,-7.43797e-14,7.49678e-14,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0874878
Basler_acA2040-35gm__23324651__20250529_163603290_0008.tiff,-3.85514e-15,-8.54175e-15,-7.43797e-14,7.49678e-14,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0874878
Basler_acA2040-35gm__23324651__20250529_163603290_0009.tiff,-2.8667e-15,-4.54097e-15,1.72829e-14,1.8098e-14,-155.563,1,1,1,1,0.0751757
Basler_acA2040-35gm__23324651__20250529_163603290_0009.tiff,-2.8667e-15,-4.54097e-15,1.72829e-14,1.8098e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0751757
Basler_acA2040-35gm__23324651__20250529_163603290_0009.tiff,-2.8667e-15,-4.54097e-15,1.72829e-14,1.8098e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0751757
Basler_acA2040-35gm__23324651__20250529_163603290_0009.tiff,-2.8667e-15,-4.54097e-15,1.72829e-14,1.8098e-14,-155.563,5.87038e-18,5.87038e-18,5.87038e-18,5.87038e-18,0.0751757
Basler_acA2040-35gm__23324651__20250529_163603290_0010.tiff,-9.32095e-16,1.04066e-15,7.14575e-14,7.14712e-14,-155.563,1,1,1,1,0.0810538
Basler_acA2040-35gm__23324651__20250529_163603290_0010.tiff,-9.32095e-16,1.04066e-15,7.14575e-14,7.14712e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0810538
Basler_acA2040-35gm__23324651__20250529_163603290_0010.tiff,-9.32095e-16,1.04066e-15,7.14575e-14,7.14712e-14,-155.563,4.21411e-18,4.21411e-18,4.21411e-18,4.21411e-18,0.0810538
Basler_acA2040-35gm__23324651__20250529_163603290_0010.tiff,-9.32095e-16,1.04066e-15,7.14575e-14,7.14712e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0810538
Basler_acA2040-35gm__23324651__20250529_163603290_0011.tiff,5.21967e-15,-1.64424e-14,-2.00031e-14,2.64144e-14,-155.563,1,1,1,1,0.0769816
Basler_acA2040-35gm__23324651__20250529_163603290_0011.tiff,5.21967e-15,-1.64424e-14,-2.00031e-14,2.64144e-14,-155.563,4.11903e-18,4.11903e-18,4.11903e-18,4.11903e-18,0.0769816
Basler_acA2040-35gm__23324651__20250529_163603290_0011.tiff,5.21967e-15,-1.64424e-14,-2.00031e-14,2.64144e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0769816
Basler_acA2040-35gm__23324651__20250529_163603290_0011.tiff,5.21967e-15,-1.64424e-14,-2.00031e-14,2.64144e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0769816
Basler_acA2040-35gm__23324651__20250529_163603290_0012.tiff,9.37546e-15,-3.19793e-15,1.80153e-14,2.05591e-14,-155.563,-1,-1,-1,-1,0.0684325
Basler_acA2040-35gm__23324651__20250529_163603290_0012.tiff,9.37546e-15,-3.19793e-15,1.80153e-14,2.05591e-14,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0684325
Basler_acA2040-35gm__23324651__20250529_163603290_0012.tiff,9.37546e-15,-3.19793e-15,1.80153e-14,2.05591e-14,-155.563,-2.7408e-17,-2.7408e-17,-2.7408e-17,-2.7408e-17,0.0684325
Basler_acA2040-35gm__23324651__20250529_163603290_0012.tiff,9.37546e-15,-3.19793e-15,1.80153e-14,2.05591e-14,-155.563,-1.00787e-17,-1.00787e-17,-1.00787e-17,-1.00787e-17,0.0684325
Basler_acA2040-35gm__23324651__20250529_163603290_0013.tiff,1.14025e-14,-7.14908e-16,1.60253e-14,1.96809e-14,-155.563,1,1,1,1,0.0704445
Basler_acA2040-35gm__23324651__20250529_163603290_0013.tiff,1.14025e-14,-7.14908e-16,1.60253e-14,1.96809e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0704445
Basler_acA2040-35gm__23324651__20250529_163603290_0013.tiff,1.14025e-14,-7.14908e-16,1.60253e-14,1.96809e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0704445
Basler_acA2040-35gm__23324651__20250529_163603290_0013.tiff,1.14025e-14,-7.14908e-16,1.60253e-14,1.96809e-14,-155.563,2.01374e-18,2.01374e-18,2.01374e-18,2.01374e-18,0.0704445
Basler_acA2040-35gm__23324651__20250529_163603290_0014.tiff,4.29752e-16,-1.39169e-15,3.794e-15,4.06397e-15,-155.563,-1,-1,-1,-1,0.0725465
Basler_acA2040-35gm__23324651__20250529_163603290_0014.tiff,4.29752e-16,-1.39169e-15,3.794e-15,4.06397e-15,-155.563,-8.7672e-18,-8.7672e-18,-8.7672e-18,-8.7672e-18,0.0725465
Basler_acA2040-35gm__23324651__20250529_163603290_0014.tiff,4.29752e-16,-1.39169e-15,3.794e-15,4.06397e-15,-155.563,-1.01757e-17,-1.01757e-17,-1.01757e-17,-1.01757e-17,0.0725465
Basler_acA2040-35gm__23324651__20250529_163603290_0014.tiff,4.29752e-16,-1.39169e-15,3.794e-15,4.06397e-15,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0725465
Basler_acA2040-35gm__23324651__20250529_163603290_0015.tiff,1.41577e-14,1.0699e-14,-5.41047e-14,5.69406e-14,-155.563,1,1,1,1,0.0772974
Basler_acA2040-35gm__23324651__20250529_163603290_0015.tiff,1.41577e-14,1.0699e-14,-5.41047e-14,5.69406e-14,-155.563,4.64724e-18,4.64724e-18,4.64724e-18,4.64724e-18,0.0772974
Basler_acA2040-35gm__23324651__20250529_163603290_0015.tiff,1.41577e-14,1.0699e-14,-5.41047e-14,5.69406e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0772974
Basler_acA2040-35gm__23324651__20250529_163603290_0015.tiff,1.41577e-14,1.0699e-14,-5.41047e-14,5.69406e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0772974
Basler_acA2040-35gm__23324651__20250529_163603290_0016.tiff,2.50365e-15,-1.11826e-14,-1.01058e-13,1.01705e-13,-155.563,-1,-1,-1,-1,0.0892727
Basler_acA2040-35gm__23324651__20250529_163603290_0016.tiff,2.50365e-15,-1.11826e-14,-1.01058e-13,1.01705e-13,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0892727
Basler_acA2040-35gm__23324651__20250529_163603290_0016.tiff,2.50365e-15,-1.11826e-14,-1.01058e-13,1.01705e-13,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0892727
Basler_acA2040-35gm__23324651__20250529_163603290_0016.tiff,2.50365e-15,-1.11826e-14,-1.01058e-13,1.01705e-13,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0892727
Basler_acA2040-35gm__23324651__20250529_163603290_0017.tiff,-7.51727e-16,-8.01713e-15,-2.91273e-14,3.02199e-14,-155.563,-1,-1,-1,-1,0.0687505
Basler_acA2040-35gm__23324651__20250529_163603290_0017.tiff,-7.51727e-16,-8.01713e-15,-2.91273e-14,3.02199e-14,-155.563,-9.57435e-19,-9.57435e-19,-9.57435e-19,-9.57435e-19,0.0687505
Basler_acA2040-35gm__23324651__20250529_163603290_0017.tiff,-7.51727e-16,-8.01713e-15,-2.91273e-14,3.02199e-14,-155.563,-2.00945e-19,-2.00945e-19,-2.00945e-19,-2.00945e-19,0.0687505
Basler_acA2040-35gm__23324651__20250529_163603290_0017.tiff,-7.51727e-16,-8.01713e-15,-2.91273e-14,3.02199e-14,-155.563,1.74419e-14,1.74419e-14,1.74419e-14,1.74419e-14,0.0687505
Basler_acA2040-35gm__23324651__20250529_163603290_0018.tiff,3.89386e-16,1.45964e-14,-3.41546e-14,3.71449e-14,-155.563,1,1,1,1,0.0839052
Basler_acA2040-35gm__23324651__20250529_163603290_0018.tiff,3.89386e-16,1.45964e-14,-3.41546e-14,3.71449e-14,-155.563,6.93622e-18,6.93622e-18,6.93622e-18,6.93622e-18,0.0839052
Basler_acA2040-35gm__23324651__20250529_163603290_0018.tiff,3.89386e-16,1.45964e-14,-3.41546e-14,3.71449e-14,-155.563,-1.74419e-14,-1.74419e-14,-1.74419e-14,-1.74419e-14,0.0839052
